,0
0,-81.08344
1,-106.95197
2,-59.78752
3,-105.00826
4,-63.445885
5,-123.46978
6,-52.83631
7,-91.15514
8,-84.92831
9,-110.77881
10,-128.8238
11,-133.44283
12,-108.38946
13,-125.73531
14,-112.26638
15,-90.49808
16,-75.32174
17,-72.86179
18,-113.76365
19,-87.153984
20,-134.72382
21,-80.990456
22,-70.57687
23,-121.71728
24,-125.49033
25,-66.76167
26,-83.82744
27,-85.77126
28,-109.92711
29,-124.49993
30,-86.2963
31,-103.78794
32,-62.042114
33,-115.48496
34,-113.91106
35,-72.05285
36,-97.42273
37,-81.81142
38,-81.82046
39,-82.14392
40,-104.22085
41,-109.27242
42,-159.2626
43,-90.10529
44,-132.75565
45,-116.429634
46,-113.374916
47,-104.52832
48,-116.95779
49,-62.70144
50,-131.91685
51,-73.85453
52,-112.73676
53,-92.67012
54,-124.12704
55,-98.38361
56,-67.65711
57,-90.72953
58,-119.330086
59,-110.69722
60,-109.049225
61,-111.89575
62,-57.823364
63,-80.690346
64,-56.759483
65,-128.8238
66,-81.00327
67,-71.50838
68,-92.76707
69,-73.59492
70,-112.996284
71,-110.40452
72,-73.223045
73,-107.840485
74,-111.103294
75,-77.24326
76,-108.74501
77,-90.50161
78,-119.80096
79,-74.06722
80,-112.30196
81,-78.899445
82,-102.67702
83,-92.57293
84,-71.40746
85,-74.5619
86,-81.845375
87,-104.633156
88,-101.40342
89,-73.18691
90,-131.60918
91,-107.86121
92,-114.61529
93,-71.77793
94,-67.36563
95,-74.4883
96,-65.93018
97,-93.496956
98,-92.50555
99,-118.420494
100,-89.01074
101,-73.97127
102,-123.179146
103,-104.627464
104,-56.219395
105,-73.02306
106,-120.42913
107,-76.82731
108,-74.34402
109,-79.89743
110,-112.68546
111,-79.422516
112,-77.601555
113,-78.92448
114,-84.978096
115,-79.15446
116,-117.25365
117,-61.08242
118,-80.80495
119,-111.78283
120,-97.47633
121,-116.216385
122,-53.067017
123,-86.11637
124,-98.176926
125,-60.758583
126,-120.80598
127,-84.22184
128,-159.13782
129,-86.21119
130,-85.50475
131,-116.37359
132,-71.86609
133,-131.20338
134,-106.30115
135,-95.56591
136,-56.60824
137,-103.33064
138,-106.3729
139,-108.890434
140,-74.32065
141,-108.39644
142,-79.26591
143,-76.85003
144,-91.219345
145,-107.37363
146,-69.169426
