,0
0,-0.30149966
1,-0.94118017
2,1.9250387
3,-0.94125444
4,2.0135627
5,-0.21482289
6,1.9136282
7,-0.54095435
8,1.3666588
9,-0.9961512
10,-0.7418455
11,-0.8942405
12,-0.8787821
13,-0.8953173
14,-0.9729985
15,0.49045599
16,0.6389909
17,1.6307153
18,-0.32962355
19,-0.94041395
20,-0.96051055
21,-0.30233008
22,1.9658889
23,-0.92447174
24,-0.93710405
25,1.7457346
26,2.2560182
27,1.0472186
28,-0.6378667
29,-0.9624254
30,-0.95106906
31,-0.9188498
32,1.3076326
33,-0.09678221
34,-1.0145556
35,1.1246272
36,-0.8529967
37,-0.49640784
38,1.1109294
39,0.12576532
40,-0.93511206
41,-0.9291996
42,-0.93626213
43,-0.17398715
44,-0.89251316
45,-0.9439875
46,-0.9599913
47,-0.77106136
48,-0.6885785
49,1.9652218
50,-0.8935941
51,0.6480217
52,-0.9106083
53,-0.49408796
54,-0.94249225
55,-0.9060159
56,0.8176551
57,-0.55174464
58,-1.0117341
59,-0.9655424
60,-0.9136553
61,-0.8762991
62,0.52565706
63,-0.3049289
64,1.9956883
65,-0.7418455
66,0.43210948
67,1.5097319
68,-0.9786303
69,2.1380043
70,-0.9073998
71,-0.9416534
72,1.0657531
73,-0.9573294
74,-0.96285844
75,0.93172705
76,-0.9328654
77,-0.8646209
78,-0.97726655
79,1.5013353
80,-0.7395868
81,0.46242428
82,-0.6828127
83,-0.49861014
84,1.2729825
85,1.7275113
86,-0.86693305
87,-0.97435725
88,-0.89611083
89,0.7307757
90,-0.90450877
91,-0.96346563
92,-0.9056192
93,-0.17841923
94,1.4192756
95,1.6790944
96,1.0408897
97,-0.59187466
98,-0.50307786
99,-0.988602
100,-0.14573985
101,1.0785775
102,-0.9158548
103,-0.9529552
104,2.0723991
105,1.6052028
106,-0.96184325
107,1.1770631
108,1.7135502
109,1.0496079
110,-0.92188364
111,0.7957481
112,-1.0317159
113,0.13285583
114,1.6002134
115,0.7324796
116,-0.94205475
117,1.747738
118,-0.2592246
119,-0.9275365
120,-0.9136394
121,-0.95121694
122,2.3472242
123,-0.85585
124,-0.93071616
125,1.9290591
126,-1.0117506
127,1.3243676
128,-0.99012864
129,0.73387825
130,1.0930209
131,-0.9780572
132,0.7436122
133,-0.9361868
134,-0.85808814
135,-0.88682103
136,0.8872025
137,-0.80963546
138,-0.9364201
139,-0.6280669
140,1.5041186
141,-0.9125597
142,0.4465245
143,-0.0604254
144,-0.8763283
145,-0.97843313
146,-0.6969563
147,0.48863018
148,0.86999035
149,-0.38130653
150,1.7302285
151,-0.40464205
152,-0.5296924
153,-0.099036574
154,0.7521126
155,0.25158727
156,-0.92271364
157,-0.94131136
158,0.9766922
159,1.4732126
160,1.4207135
161,-0.96833533
162,-0.7971171
163,-0.8941994
164,-0.9099772
165,-0.9066984
166,-0.91302
167,0.99793077
168,0.55668426
169,1.1494855
170,1.4272462
171,-0.6176865
172,0.44814134
173,-0.14871067
174,-0.36749622
175,-0.9442293
176,-0.9484899
177,0.8435588
178,-0.95304775
179,1.299553
180,-0.44053093
181,-0.98985606
182,0.5677333
183,1.1994911
184,-0.9402075
185,-0.9303473
186,-0.7190821
187,-0.9565097
188,1.5173756
189,0.66077816
190,1.0464346
191,0.89422715
192,-0.5163902
193,-0.60933363
194,0.88602436
195,-0.97863257
196,-0.2608983
197,-0.93085396
198,1.1612126
199,2.114211
200,-0.9630274
201,-0.9377682
202,-0.8913571
203,0.80224204
204,1.5608083
205,-0.9639971
206,-0.8974636
207,-0.9403138
208,-0.2024284
209,0.90381014
210,1.7885903
211,0.98554194
212,-0.78772175
213,-0.8903669
214,1.5693489
215,0.36783838
216,1.7398125
217,-0.8341465
218,1.1229594
219,0.9536853
220,-0.23209113
221,0.49338973
222,-0.662506
223,-0.9370628
224,1.1251515
225,-0.75165397
226,-0.91746247
227,-0.90613616
228,-0.92398155
229,1.4858614
230,0.37922752
231,-0.899056
232,-0.9798161
233,0.9142693
234,-0.75540435
235,-0.9811154
236,-0.938905
237,-0.77509373
238,-0.3021062
239,-0.71976936
240,-0.9091656
241,0.8899733
242,-0.5367241
243,-0.6081172
244,0.79004884
245,-0.9388652
246,-0.7620525
247,1.2520536
248,-0.9827426
249,-0.9501883
250,1.8315126
251,-0.8578783
252,1.474567
253,-0.9133909
254,-0.8562199
255,-0.27438724
256,1.0874007
257,0.8614439
258,1.1002423
259,-0.895969
260,-0.30232137
261,-0.1787895
262,0.7905828
263,-0.21482289
264,-0.74351335
265,-0.9028983
266,-0.9743574
267,-0.52131295
268,1.0496079
269,-0.10933435
270,1.8393775
271,2.0651598
272,-0.6086279
273,-0.3682156
274,1.8574556
275,-0.9555613
276,-0.39759076
277,-1.0051756
278,-0.9363439
279,-0.9252318
280,-0.94909084
281,-0.3544622
282,0.31500196
283,-0.7440538
284,1.701893
285,-0.30480164
286,-0.9256554
287,0.24699128
288,-0.9366844
289,1.2449769
290,2.0318537
291,-0.094819665
292,-0.92467636
293,-0.98071027
294,0.026365042
295,1.3243502
296,-0.062284112
297,1.5013353
298,-0.6085136
299,0.041007936
300,1.9670991
301,-0.9303179
302,-0.94027054
303,-1.0277364
304,0.3889073
305,-0.5108016
306,-0.50592977
307,0.9142693
308,0.926116
309,0.99132
310,1.0700616
311,-0.71287775
312,-0.9217213
313,-0.017855227
314,1.5721284
315,-0.9404116
316,-1.0586877
317,-0.9782692
318,1.6617523
319,-0.56734115
320,0.50630105
321,-0.9459266
322,-0.92257136
323,-0.75373256
324,-0.9167303
325,-0.944409
326,0.06181699
327,-0.90386415
328,1.4764777
329,1.3228251
330,0.48904455
331,-0.95995855
332,1.2385889
333,-0.94344467
334,-0.9497832
335,-0.94846386
336,-0.32776237
337,-0.65593344
338,-0.6945629
339,0.8423315
340,1.5661107
341,1.1066349
342,-0.90831304
343,-0.88732904
344,0.9488015
345,-0.8518919
346,-0.13929999
347,-0.9312507
348,-0.91432494
349,1.621205
350,0.90447485
351,-0.6143049
352,-0.7850023
353,-0.30165333
354,-0.49440265
355,-0.43844157
356,1.1672696
357,0.57062495
358,-0.93565685
359,-0.9455215
360,-0.94475526
361,1.7018031
362,1.0286754
363,0.7175547
364,1.390117
365,1.608122
366,0.976264
367,1.3825802
368,-0.30939466
369,-0.86008066
370,1.1461724
371,-0.99189126
372,-0.9751113
373,1.4148949
374,-0.63594484
375,0.2538663
376,-0.66651106
377,-0.68463147
378,0.4937756
379,1.4285442
380,-0.92481285
381,-0.42138946
382,-0.98535544
383,-0.90317214
384,-0.9615562
385,-0.9458267
386,1.7687207
387,1.3564821
388,-0.9383826
389,0.47350943
390,-0.30091625
391,-0.98386383
392,2.1785488
393,-0.58709526
394,-0.9643986
395,-0.16280568
396,0.7586528
397,-0.97109747
398,-0.9392282
399,0.63934946
400,-0.97225255
401,-0.9402451
402,1.4778057
403,-0.66990405
404,1.2854944
405,-0.30260342
406,-0.9183945
407,-0.66460496
408,-0.97442573
409,-0.91548675
410,-0.9109929
411,-0.91574895
412,-0.9436429
413,-0.9931017
414,-0.3477581
415,-0.7941227
416,-0.22953689
417,-0.58009326
418,1.1913334
419,1.8652767
420,-0.9490828
421,1.1500279
422,-0.14656138
423,-0.9281998
424,1.7540609
425,-0.73053795
426,1.2101918
427,-0.95419586
428,0.64828193
429,-0.9282663
430,1.8468891
431,-0.4227939
432,-0.9527028
433,1.697236
434,1.3916322
435,-0.9449385
436,-0.58360964
437,0.7040807
438,-0.5646477
439,-0.9662102
440,-0.97065055
441,-0.28506237
442,-0.9200155
443,-0.9531641
444,-0.67586225
445,0.59804916
446,1.3426231
447,-0.47371826
448,-0.7444142
449,0.6020292
450,-0.98661304
451,-0.64706737
452,1.7338809
453,0.9542593
454,1.383169
455,-0.31377846
456,1.7154876
457,1.4083897
458,1.3598789
459,-0.9334935
460,0.6502906
461,-1.0023973
462,-1.0043852
463,1.592014
464,-0.5940747
465,1.1002423
466,-0.8571694
467,-0.93877023
468,-0.9208956
469,-0.88633597
470,-0.33310175
471,-0.30082005
472,1.621205
473,0.8290379
474,-0.92715186
475,1.2788111
476,-0.941136
477,-0.5249488
478,0.993291
479,-0.90740824
480,-0.93236345
481,-0.7930758
482,-0.92010146
483,1.5806929
484,0.5429381
485,0.35067987
486,-0.94790465
487,-0.94083774
488,1.4702994
489,0.76831925
490,-0.925977
491,-0.9364999
492,-0.9232015
493,1.0743694
494,-0.899056
495,0.034494042
496,-0.95662546
497,-0.9341289
498,0.10825145
499,0.919063
500,1.0957425
501,-0.96356213
502,1.2354556
503,-0.72768635
504,-0.9752407
505,-0.93912154
506,-1.0145556
507,1.5538944
508,-0.89343333
509,1.7337679
510,1.5713223
511,-0.84952956
512,0.22516978
513,-0.9710399
514,-0.54600656
515,-1.0150297
516,1.3638471
517,1.917041
518,1.7862071
519,1.4182135
520,-0.97881585
521,1.2754964
522,1.749528
523,-0.30939466
524,-0.18334937
525,-0.9575884
