,0
0,-0.85256016
1,-0.9911775
2,0.65948486
3,-0.9996066
4,0.85624593
5,-1.0
6,0.9165323
7,-0.77396035
8,0.6646829
9,-0.96715766
10,-1.0
11,-0.99900883
12,-0.99548995
13,-0.85251814
14,-0.9960242
15,0.50489193
16,0.7662724
17,0.8621881
18,-0.9919101
19,-0.9941846
20,-1.0
21,-0.81036085
22,0.39327887
23,-1.0
24,-0.9995602
25,0.4858003
26,-0.30990624
27,0.42570636
28,-0.99999976
29,-0.9999807
30,-1.0
31,-0.9997403
32,0.4805937
33,-0.9853643
34,-0.9771933
35,0.4500586
36,-0.99873143
37,-0.90336704
38,0.6500763
39,0.70539266
40,-0.9997705
41,-0.9936882
42,-0.99742496
43,-0.93726736
44,-0.99999696
45,-0.9816533
46,-0.99996877
47,-0.909227
48,-0.9246795
49,0.5776825
50,-0.9999972
51,0.32473746
52,-0.922317
53,-0.9125361
54,-0.99996877
55,-0.9994994
56,0.6710966
57,-0.6894191
58,-0.9999956
59,-0.9995313
60,-0.99996537
61,-0.99991137
62,0.7192192
63,-0.7237299
64,0.8640478
65,-1.0
66,0.5616163
67,0.8864555
68,-0.9999577
69,0.8767264
70,-0.99860936
71,-0.9978122
72,0.5952146
73,-1.0
74,-0.9998479
75,0.6314475
76,-0.99483174
77,-0.97090995
78,-0.9494888
79,0.69729674
80,-0.953202
81,0.058777247
82,-0.9568755
83,-0.9353168
84,0.28773555
85,0.17126593
86,-0.9740389
87,-0.99999994
88,-0.99999976
89,0.56063026
90,-1.0
91,-0.99999386
92,-0.9989483
93,0.28895903
94,0.86202204
95,0.6030388
96,0.6919281
97,-0.72670984
98,-0.9467223
99,-0.9970501
100,-0.9861245
101,0.27363288
102,-0.9984779
103,-0.999989
104,0.9922358
105,0.8756263
106,-0.99999994
107,0.2416273
108,0.19884127
109,0.26420522
110,-0.99999994
111,0.288184
112,-0.99999624
113,-0.41353044
114,0.8785874
115,0.30281436
116,-1.0
117,0.9750984
118,-0.7058312
119,-1.0
120,-0.9880258
121,-0.9767343
122,0.99073803
123,-0.898766
124,-0.9977027
125,0.98996407
126,-0.9998552
127,0.59915936
128,-0.9931646
129,0.2978678
130,0.512633
131,-0.9999924
132,0.41831744
133,-0.9998692
134,-0.9936488
135,-0.999701
136,0.90882736
137,-0.6157142
138,-0.99889106
139,-0.9999999
140,0.6669462
141,-0.99999994
142,0.3138268
143,0.39884955
144,-0.8837313
145,-0.9999999
146,-0.058842286
147,0.5211043
148,0.73941773
149,-0.8146542
150,0.21102709
151,-0.90964025
152,-0.94619644
153,-0.78441334
154,0.29402426
155,0.7027939
156,-0.99739164
157,-0.999994
158,0.8166409
159,0.91567266
160,0.57401174
161,-0.99973834
162,-0.9892357
163,-0.9969653
164,-0.9999865
165,-0.991809
166,-0.9997338
167,-0.07875867
168,0.3702784
169,0.54143536
170,0.19203614
171,-0.93991303
172,0.936285
173,-0.9999864
174,-0.58371073
175,-0.8825531
176,-0.9942817
177,0.3807831
178,-0.98962504
179,0.36829233
180,-0.9888303
181,-0.9973103
182,0.6620279
183,0.6602565
184,-0.9999998
185,-1.0
186,-0.8441506
187,-0.99994606
188,0.66530967
189,0.54428375
190,0.5414317
191,0.6381821
192,-0.93602127
193,-0.9999996
194,0.56324446
195,-0.9999779
196,-0.9999747
197,-1.0
198,0.036417734
199,0.98883885
200,-0.9970419
201,-0.9999834
202,-0.9999481
203,0.001729278
204,0.21217173
205,-0.99999946
206,-0.99999917
207,-0.9994697
208,0.66751295
209,0.28979963
210,0.9640336
211,0.5134139
212,-1.0
213,0.97784626
214,0.8028187
215,-0.024994025
216,0.79790175
217,-0.99999934
218,0.6919114
219,0.6250686
220,-0.98900795
221,0.44881698
222,-0.8704169
223,-0.98947674
224,0.8488342
225,-0.9999909
226,-0.9999889
227,-0.9999681
228,-1.0
229,0.89481956
230,0.35599932
231,-0.9970613
232,-0.73291355
233,0.37889564
234,-0.9242918
235,-0.704076
236,-1.0
237,-0.97175
238,-0.80212265
239,-0.9999269
240,-0.7954299
241,-0.07087306
242,-0.6728147
243,-0.97997457
