,0
0,-0.109427
1,0.124825604
2,1.1157688
3,-0.01754637
4,0.3292311
5,-0.33842498
6,-0.335032
7,0.16847146
8,-0.036515214
9,0.18593687
10,0.58353823
11,-0.32141033
12,-0.32850298
13,-0.43661496
14,0.59777415
15,-0.4597375
16,-0.035826325
17,1.258137
18,0.20593464
19,-0.25210318
20,-0.09674069
21,-0.7098436
22,-0.21467254
23,0.46327817
24,0.5744252
25,-0.49118146
26,0.3580737
27,0.6556446
28,-0.7615135
29,-0.09621139
30,-1.2041227
31,-0.32268545
32,0.56709397
33,0.2977286
34,-0.5434016
35,-0.18784684
36,0.026697695
37,0.1546624
38,0.9376788
39,-0.22154856
40,-0.30391368
41,0.33048695
42,-0.26465827
43,0.17734355
44,0.67244804
45,-0.16375682
46,0.04006496
47,-0.19639684
48,0.20338053
49,0.89257944
50,0.057270773
51,0.23574382
52,0.23254967
53,-0.15385759
54,-0.22834954
55,0.886974
56,-0.30449104
57,-0.48964864
58,-0.5765488
59,0.38848346
60,-0.23737401
61,-0.8232891
62,0.82550967
63,-0.19990347
64,0.09361208
65,0.11637259
66,-0.17729314
67,-0.1643841
68,0.40866557
69,-0.42448708
70,-0.35676855
71,-0.23106602
72,0.30203393
73,-0.27190107
74,-0.43995437
75,-0.40907925
76,-0.15301073
77,0.20550984
78,0.6687219
79,0.42327607
80,0.10946383
81,-0.23790699
82,0.21554488
83,0.8419723
84,0.24490574
85,-0.23103467
86,-0.20309505
87,-0.17328542
88,-0.46639508
89,-0.65007657
90,-0.25382346
91,0.12502357
92,-0.0134437755
93,0.14507678
94,-0.17870119
95,0.55527395
96,0.187911
97,-0.21983442
98,-0.09219932
99,-0.2695211
100,0.740593
101,-0.046594143
102,0.47148222
103,-0.29964897
104,-0.056034155
105,-0.35376865
106,-0.14253752
107,1.2500275
108,-0.10830316
109,-0.18439548
110,-0.116888426
111,-0.2626899
112,0.14443341
113,0.35801488
114,-0.3520389
115,-0.10842484
116,-0.1661736
117,-0.08782562
118,-0.36132073
119,-0.24135771
120,-0.3268222
121,0.16387546
122,-0.062403355
123,-0.21189606
124,-0.40494657
125,-0.4510882
126,0.11098514
127,-0.29032683
128,-0.31958005
129,0.17192572
130,-0.34590477
131,-0.22875676
132,-0.7257352
133,-0.14645396
134,-0.17175615
135,0.18064839
136,0.6495633
137,-0.3821309
138,0.7599671
139,-0.40582234
140,0.07723094
141,0.820598
142,-0.42394492
143,-0.59889746
144,-0.3079679
145,0.17737263
146,0.38195172
147,-0.43147922
148,0.33424294
149,0.049222894
150,-0.5361899
151,-0.31037864
152,-0.34474495
153,0.63616955
154,0.3782738
155,0.024660617
