,0
0,0.016752768
1,-1.1952599
2,-2.1927412
3,1.0674748
4,-1.0692359
5,0.58511066
6,0.69785523
7,-0.27812725
8,0.7338255
9,-0.8468907
10,-1.4109987
11,1.0062712
12,0.54339
13,0.64535534
14,-1.8057657
15,0.43375117
16,-0.10905208
17,-2.3703704
18,-0.7769274
19,0.47518906
20,-0.4684894
21,0.7962994
22,0.38667575
23,-1.3650824
24,-1.5733149
25,0.6749127
26,-0.70476854
27,-1.6890018
28,1.2415383
29,-0.11155693
30,1.4016739
31,0.75646687
32,-1.2679404
33,-0.5675861
34,0.7249774
35,0.6847652
36,-0.5629033
37,-1.0234507
38,-2.0763302
39,0.5544493
40,0.7481982
41,-1.1408303
42,0.7606813
43,-0.8985479
44,-1.8377154
45,0.56422067
46,-0.35041824
47,0.8960501
48,-0.83824575
49,-1.8282617
50,-0.8292336
51,-0.74845517
52,-0.74183464
53,0.5855477
54,0.36181214
55,-1.6469887
56,-0.8147193
57,0.93361187
58,1.184734
59,-0.8223928
60,-0.24152763
61,0.8890021
62,-1.8608829
63,0.049275566
64,-0.59939766
65,-0.940737
66,0.7119624
67,0.62088984
68,-1.2802311
69,1.025072
70,0.609363
71,1.1675812
72,-1.3065566
73,0.9927403
74,1.1430002
75,0.2555887
76,0.42275202
77,-1.3066299
78,-1.7230816
79,-1.6133744
80,-1.3189745
81,-0.45364508
82,-1.3478867
83,-1.7372857
84,-1.2172236
85,0.23744655
86,0.5741962
87,-0.49202117
88,0.91007227
89,0.80978084
90,0.49454093
91,0.6141011
92,0.39175016
93,-0.81976724
94,0.69494087
95,-1.8217078
96,-1.1064757
97,0.6538706
98,0.5823937
99,0.66836786
100,-1.9127892
101,0.80466115
102,-1.8165512
103,0.70434177
104,0.22925888
105,1.0651257
106,0.18190613
107,-2.2420177
108,0.054678533
109,0.9467317
110,-0.4740105
111,0.4497609
112,-0.62495625
113,-0.7257804
114,0.87704664
115,0.66634035
116,0.41097647
117,0.23109907
118,0.9709202
119,0.52130187
120,0.73740745
121,-0.88716924
122,0.68114865
123,0.5542896
124,0.77197504
125,0.8277061
126,-0.352687
127,0.6856374
128,0.77200085
129,-1.3203641
130,0.90107596
131,0.42676246
132,1.3236634
133,0.6583785
134,0.25261965
135,0.28885025
136,-1.0682819
137,1.0512229
138,-1.8136973
139,0.8964467
140,-0.91189986
141,-1.9886416
142,0.89123535
143,0.997897
144,0.9475088
145,-0.7973789
146,-2.0317922
147,0.8561017
148,-1.266605
149,-0.08137472
150,1.021259
151,0.84151053
152,0.68921244
153,-1.3747022
154,-1.3354694
155,0.062168006
156,1.3643341
157,-1.0789121
158,0.96271896
159,-1.0472381
160,0.12559265
161,0.54430103
162,0.9034426
163,0.6195824
164,-2.0847178
165,0.7761104
166,-0.30912212
167,-0.18973728
168,0.7331321
169,-0.79314697
170,0.7857809
171,0.7946093
172,0.12859175
173,-1.6196948
174,0.22846502
175,0.933028
176,-1.675649
177,0.8033099
178,0.7655736
179,0.60925704
180,0.6003679
181,1.7129297
182,0.6425212
183,1.1348618
184,0.22401598
185,-1.6621052
186,-2.2579114
187,0.27230406
188,0.60393643
189,-2.080412
190,-1.6872259
191,-1.282004
192,-0.38686043
193,0.7201897
194,1.1155578
195,1.0471815
196,-1.7613409
197,1.2981883
198,-1.2277006
199,0.84646946
200,-1.510363
201,-0.08560106
202,1.2468041
203,0.9049269
204,0.44060278
205,-1.3963455
206,0.64617574
207,0.6557573
208,-0.034807768
209,1.1317525
210,0.6353886
211,1.2065288
212,-1.1132262
213,-1.1082503
214,1.5554928
215,-1.1334745
216,0.29528868
217,-2.0851703
218,0.089135006
219,0.99905145
220,-1.7480772
221,0.618462
222,-2.031799
223,-2.2170773
224,-1.1923515
225,0.48730123
226,0.6599034
227,1.1465005
228,1.1739658
229,1.2853397
230,1.0558311
231,0.99760044
232,-1.9095082
233,0.7169395
234,0.4026895
235,-1.077625
236,0.98155236
237,0.91160935
238,-1.2745837
239,1.0272889
240,1.4128203
241,0.6510454
242,0.7976669
243,0.6182134
244,-1.3784165
245,0.6211101
246,0.5275494
247,0.5045757
248,0.49775404
249,0.69595516
250,0.6193069
251,-1.0565981
252,0.8858018
253,0.21318491
254,1.0892009
255,-0.16776475
256,0.7040605
257,0.26019654
258,1.0262648
259,0.5797975
260,1.3960754
261,-2.2793357
262,0.5767999
263,0.42575794
264,0.5301762
265,0.56459033
266,-0.5076801
267,0.8721866
268,0.74117243
269,0.67518365
270,1.1129442
271,0.62652326
272,0.6312525
273,-1.3297569
274,1.1179267
275,1.0353864
276,-0.6538556
277,-0.32533413
278,1.0704747
279,0.010429833
280,-2.024326
281,0.72137976
282,-0.71837676
283,-0.69389164
284,0.4899689
285,0.70772386
286,0.5794234
287,0.5758287
288,1.2494937
289,-0.71416134
290,0.52129734
291,0.8362621
292,0.48188657
293,0.2632235
294,-0.29979163
295,0.36986938
296,-0.7002281
297,-1.7837777
298,0.7746112
299,-0.9564299
300,-1.1054254
301,1.1409951
302,0.7034339
303,-1.408817
304,0.6175189
305,0.57579964
306,0.6570032
307,-0.00014718994
308,0.9446137
309,-0.34777993
310,-0.0116380565
311,-1.3004154
312,0.68494153
313,0.80959284
314,0.8776334
315,0.6422932
316,0.8443824
317,-1.2986182
318,0.12426439
